Name,X,Y,Z,qW,qX,qY,qZ
Start,9.815,-9.806,4.293,1.0,0.0,0.0,0.0
Area1,11.15,-9.5,4.8,0.640342,-0.066765,-0.056023,-0.763129
Area2,11.0,-8.5,5.1,0.707107,0.0,0.707107,0.0
Area4,10.9,-7.8,5.1,0.257834,-0.084186,0.022558,0.96225
Area5,11.1,-7.2,4.9,0.707107,0,0,0.707107
